[2023-08-08 15:33:40] Ora2Pg version: 24.0
[2023-08-08 15:33:40] Export type: SHOW_TABLE
[2023-08-08 15:33:40] Geometry export type: INTERNAL
[2023-08-08 15:33:40] ORACLE_HOME = /opt/instant_client_12_2
[2023-08-08 15:33:40] NLS_LANG = AMERICAN_AMERICA.AL32UTF8
[2023-08-08 15:33:40] NLS_NCHAR = AL32UTF8
[2023-08-08 15:33:40] Trying to connect to database: dbi:Oracle:host=172.17.0.5;sid=xe;port=1521
[2023-08-08 15:33:41] Isolation level: SET TRANSACTION ISOLATION LEVEL SERIALIZABLE
[2023-08-08 15:33:41] Showing table information...
[2023-08-08 15:33:42] Collecting 201 tables in DBA_OBJECTS took:  1 wallclock secs ( 0.01 usr +  0.00 sys =  0.01 CPU)
[2023-08-08 15:33:43] Collecting 199 tables information in DBA_TABLES took:  1 wallclock secs ( 0.01 usr +  0.01 sys =  0.02 CPU)
[2023-08-08 15:33:43] Retrieving column identity information...
[2023-08-08 15:33:43] Looking to subpartition information...
[2023-08-08 15:33:44] Looking to partitioned tables information...
[2023-08-08 15:33:46] Looking to external tables information...
[2023-08-08 15:33:46] [1] TABLE JUROR.ABACCUS (owner: JUROR, 5 rows)
[2023-08-08 15:33:46] [2] TABLE JUROR.ACCT_PAY_DATA (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [3] TABLE JUROR.ACCUSED (owner: JUROR, 21 rows)
[2023-08-08 15:33:46] [4] TABLE JUROR.APPEARANCES (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [5] TABLE JUROR.ARAMIS_PAYMENTS (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [6] TABLE JUROR.ATTENDANCE (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [7] TABLE JUROR.AUDIT_F_REPORT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [8] TABLE JUROR.AUDIT_REPORT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [9] TABLE JUROR.BIOFORM (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [10] TABLE JUROR.CERT_LETT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [11] TABLE JUROR.CONDITION (owner: JUROR, 11 rows)
[2023-08-08 15:33:46] [12] TABLE JUROR.CONFIRM_LETT (owner: JUROR, 900 rows)
[2023-08-08 15:33:46] [13] TABLE JUROR.CONTACT_PREFERENCE (owner: JUROR, 3 rows)
[2023-08-08 15:33:46] [14] TABLE JUROR.CONTEXT_DATA (owner: JUROR, 101 rows)
[2023-08-08 15:33:46] [15] TABLE JUROR.CORONER_POOL (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [16] TABLE JUROR.CORONER_POOL_DETAIL (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [17] TABLE JUROR.COURT_CATCHMENT_AREA (owner: JUROR, 158 rows)
[2023-08-08 15:33:46] [18] TABLE JUROR.COURT_GROUP (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [19] TABLE JUROR.COURT_LOCATION (owner: JUROR, 101 rows)
[2023-08-08 15:33:46] [20] TABLE JUROR.CURRENT_TRANS (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [21] TABLE JUROR.DAILY_TRANS (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [22] TABLE JUROR.DB_VERSION (owner: JUROR, 4 rows)
[2023-08-08 15:33:46] [23] TABLE JUROR.DEFER_DBF (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [24] TABLE JUROR.DEF_DENIED (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [25] TABLE JUROR.DEF_LETT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [26] TABLE JUROR.DISPOSAL_CONDITION (owner: JUROR, 31 rows)
[2023-08-08 15:33:46] [27] TABLE JUROR.DISPOSITION (owner: JUROR, 3 rows)
[2023-08-08 15:33:46] [28] TABLE JUROR.DISQ_LETT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [29] TABLE JUROR.DISTRICT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [30] TABLE JUROR.DIS_CODE (owner: JUROR, 7 rows)
[2023-08-08 15:33:46] [31] TABLE JUROR.ERROR_LOG (owner: JUROR, 16 rows)
[2023-08-08 15:33:46] [32] TABLE JUROR.EXC_CODE (owner: JUROR, 20 rows)
[2023-08-08 15:33:46] [33] TABLE JUROR.EXC_DENIED_LETT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [34] TABLE JUROR.EXC_LETT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [35] TABLE JUROR.EXPORT_PLACEHOLDERS (owner: JUROR, 5 rows)
[2023-08-08 15:33:46] [36] TABLE JUROR.FORMS_LIST (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [37] TABLE JUROR.FORM_ATTR (owner: JUROR, 100 rows)
[2023-08-08 15:33:46] [38] TABLE JUROR.FTA_LETT (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [39] TABLE JUROR.HOLIDAYS (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [40] TABLE JUROR.INELIGIBLE_CODE (owner: JUROR, 12 rows)
[2023-08-08 15:33:46] [41] TABLE JUROR.JUDGE (owner: JUROR, 10 rows)
[2023-08-08 15:33:46] [42] TABLE JUROR.JUROR (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [43] TABLE JUROR.JUROR_COURT_POLICE_CHECK (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [44] TABLE JUROR.JUROR_TABLES (owner: JUROR, 175 rows)
[2023-08-08 15:33:46] [45] TABLE JUROR.LOCATION (owner: JUROR, 52 rows)
[2023-08-08 15:33:46] [46] TABLE JUROR.MANUALS (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [47] TABLE JUROR.MANUALS_STATUS (owner: JUROR, 3 rows)
[2023-08-08 15:33:46] [48] TABLE JUROR.MESSAGES (owner: JUROR, 1 rows)
[2023-08-08 15:33:46] [49] TABLE JUROR.MODULE_MACHINE_XREF (owner: JUROR, 294 rows)
[2023-08-08 15:33:46] [50] TABLE JUROR.NEW_DOB (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [51] TABLE JUROR.PANEL (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [52] TABLE JUROR.PANEL_GROUP (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [53] TABLE JUROR.PART_AMENDMENTS (owner: JUROR, 30 rows)
[2023-08-08 15:33:46] [54] TABLE JUROR.PART_EXPENSES (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [55] TABLE JUROR.PART_HIST (owner: JUROR, 916 rows)
[2023-08-08 15:33:46] [56] TABLE JUROR.PASSWORD (owner: JUROR, 73 rows) (Warning: 'PASSWORD' is a reserved word in PostgreSQL)
[2023-08-08 15:33:46] [57] TABLE JUROR.PEAK_USAGE (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [58] TABLE JUROR.PHOENIX_TEMP (owner: JUROR, 0 rows)
[2023-08-08 15:33:46] [59] TABLE JUROR.PHONE_LOG (owner: JUROR, 18 rows)
[2023-08-08 15:33:46] [60] TABLE JUROR.PL_XML_STATUS (owner: JUROR, 19110 rows)
[2023-08-08 15:33:46] [61] TABLE JUROR.PNC_PROXY (owner: JUROR, 1 rows)
[2023-08-08 15:33:46] [62] TABLE JUROR.POOL (owner: JUROR, 909 rows)
[2023-08-08 15:33:46] [63] TABLE JUROR.POOL_COMMENTS (owner: JUROR, 0 rows)
